id,proba
280520,0.37
280521,0.37
280522,0.37
280523,0.63
280524,0.37
280525,0.37
280526,0.37
280527,0.37
280528,0.37
280529,0.63
280530,0.63
280531,0.63
280532,0.37
280533,0.63
280534,0.63
280535,0.37
280536,0.63
280537,0.63
280538,0.63
280539,0.63
280540,0.37
280541,0.63
280542,0.37
280543,0.63
280544,0.63
280545,0.37
280546,0.37
280547,0.37
280548,0.63
280549,0.37
280550,0.37
280551,0.37
280552,0.63
280553,0.63
280554,0.63
280555,0.37
280556,0.63
280557,0.37
280558,0.63
280559,0.63
280560,0.37
280561,0.63
280562,0.37
280563,0.37
280564,0.63
280565,0.63
280566,0.37
280567,0.37
280568,0.63
280569,0.37
280570,0.37
280571,0.63
280572,0.63
280573,0.63
280574,0.63
280575,0.63
280576,0.63
280577,0.63
280578,0.63
280579,0.63
280580,0.63
280581,0.63
280582,0.63
280583,0.63
280584,0.63
280585,0.37
280586,0.63
280587,0.37
280588,0.63
280589,0.37
280590,0.37
280591,0.37
280592,0.37
280593,0.63
280594,0.37
280595,0.37
280596,0.63
280597,0.63
280598,0.37
280599,0.63
280600,0.37
280601,0.37
280602,0.63
280603,0.37
280604,0.63
280605,0.63
280606,0.63
280607,0.37
280608,0.63
280609,0.37
280610,0.37
280611,0.37
280612,0.37
280613,0.63
280614,0.63
280615,0.37
280616,0.63
280617,0.37
280618,0.63
280619,0.63
280620,0.37
280621,0.37
280622,0.37
280623,0.37
280624,0.63
280625,0.37
280626,0.63
280627,0.63
280628,0.63
280629,0.63
280630,0.37
280631,0.37
280632,0.63
280633,0.37
280634,0.63
280635,0.37
280636,0.37
280637,0.63
280638,0.37
280639,0.63
280640,0.63
280641,0.63
280642,0.63
280643,0.37
280644,0.63
280645,0.37
280646,0.37
280647,0.63
280648,0.37
280649,0.37
280650,0.63
280651,0.63
280652,0.37
280653,0.37
280654,0.63
280655,0.37
280656,0.63
280657,0.37
280658,0.63
280659,0.37
280660,0.37
280661,0.37
280662,0.37
280663,0.63
280664,0.63
280665,0.37
280666,0.37
280667,0.37
280668,0.37
280669,0.63
280670,0.63
280671,0.63
280672,0.63
280673,0.63
280674,0.63
280675,0.63
280676,0.63
280677,0.37
280678,0.63
280679,0.37
280680,0.37
280681,0.37
280682,0.37
280683,0.37
280684,0.37
280685,0.37
280686,0.37
280687,0.37
280688,0.37
280689,0.37
280690,0.63
280691,0.63
280692,0.63
280693,0.37
280694,0.37
280695,0.63
280696,0.37
280697,0.63
280698,0.37
280699,0.63
280700,0.37
280701,0.37
280702,0.37
280703,0.37
280704,0.37
280705,0.37
280706,0.37
280707,0.63
280708,0.37
280709,0.37
280710,0.37
280711,0.63
280712,0.63
280713,0.63
280714,0.37
280715,0.63
280716,0.37
280717,0.63
280718,0.63
280719,0.37
280720,0.63
280721,0.63
280722,0.63
280723,0.37
280724,0.63
280725,0.37
280726,0.63
280727,0.37
280728,0.37
280729,0.63
280730,0.63
280731,0.63
280732,0.63
280733,0.37
280734,0.37
280735,0.37
280736,0.63
280737,0.37
280738,0.63
280739,0.37
280740,0.37
280741,0.63
280742,0.63
280743,0.37
280744,0.63
280745,0.37
280746,0.37
280747,0.37
280748,0.63
280749,0.37
280750,0.37
280751,0.37
280752,0.37
280753,0.37
280754,0.63
280755,0.63
280756,0.63
280757,0.37
